         1  3734.0     1.720960e-03
         2  3735.3     1.535540e-03
         3  3736.6     1.350120e-03
         4  3737.9     2.477859e-03
         5  3739.2     3.844423e-03
         6  3740.5     5.210987e-03
         7  3741.8     6.577551e-03
         8  3743.1     7.944115e-03
         9  3744.4     9.310679e-03
	10  3745.7     9.503826e-03
	11  3747.0     9.345021e-03
	12  3748.3     9.186216e-03
	13  3749.6     9.242543e-03
	14  3750.9     1.153488e-02
	15  3752.2     1.436333e-02
	16  3753.5     1.578812e-02
	17  3754.8     1.691382e-02
	18  3756.1     1.837255e-02
	19  3757.4     2.011913e-02
	20  3758.7     2.184528e-02
	21  3760.0     2.356457e-02
	22  3761.3     2.527957e-02
	23  3762.6     2.701405e-02
	24  3763.9     2.885558e-02
	25  3765.2     3.071448e-02
	26  3766.5     3.266895e-02
	27  3767.8     3.454062e-02
	28  3769.1     3.595666e-02
	29  3770.4     3.737270e-02
	30  3771.7     3.905721e-02
	31  3773.0     4.134589e-02
	32  3774.3     4.342764e-02
	33  3775.6     4.302754e-02
	34  3776.9     4.262744e-02
	35  3778.2     4.145795e-02
	36  3779.5     3.962897e-02
	37  3780.8     3.688709e-02
	38  3782.1     3.308031e-02
	39  3783.4     2.970175e-02
	40  3784.7     2.700815e-02
	41  3786.0     2.431455e-02
	42  3787.3     2.131708e-02
	43  3788.6     1.763616e-02
	44  3789.9     1.485468e-02
	45  3791.2     1.263553e-02
	46  3792.5     1.041637e-02
	47  3793.8     9.217248e-03
	48  3795.1     8.103215e-03
	49  3796.4     6.989181e-03
	50  3797.7     6.270219e-03
	51  3799.0     5.889890e-03
	52  3800.3     5.509560e-03
	53  3801.6     4.551248e-03
	54  3802.9     3.821477e-03
	55  3804.2     3.457292e-03
	56  3805.5     3.093106e-03
	57  3806.8     2.728921e-03
	58  3808.1     2.259434e-03
	59  3809.4     1.790834e-03
	60  3810.7     1.562751e-03
	61  3812.0     1.334668e-03
	62  3813.3     1.106585e-03
	63  3814.6     1.122585e-03
	64  3815.9     1.144729e-03
	65  3817.2     1.122259e-03
	66  3818.5     1.099789e-03
	67  3819.8     1.077319e-03
	68  3821.1     1.054849e-03
	69  3822.4     1.032380e-03
	70  3823.7     1.075259e-03
	71  3825.0     1.158970e-03
	72  3826.3     1.242680e-03
	73  3827.6     1.326391e-03
	74  3828.9     1.410102e-03
	75  3830.2     1.493812e-03
	76  3831.5     1.577523e-03
	77  3832.8     1.742415e-03
	78  3834.1     1.958047e-03
	79  3835.4     2.173679e-03
	80  3836.7     2.389311e-03
	81  3838.0     2.604943e-03
	82  3839.3     2.806384e-03
	83  3840.6     2.960524e-03
	84  3841.9     3.114664e-03
	85  3843.2     3.268804e-03
	86  3844.5     3.422944e-03
	87  3845.8     3.577084e-03
	88  3847.1     3.731224e-03
	89  3848.4     3.885364e-03
	90  3849.7     4.086748e-03
	91  3851.0     4.445546e-03
	92  3852.3     4.804344e-03
	93  3853.6     5.163141e-03
	94  3854.9     5.521939e-03
	95  3856.2     5.753094e-03
	96  3857.5     5.874841e-03
	97  3858.8     5.996587e-03
	98  3860.1     6.118334e-03
	99  3861.4     6.240081e-03
       100  3862.7     6.361827e-03
