23220	139652
23235	98107
23236	50410
23940	117976
23941	128013
23942	121063
23942	128532
23937	134875
23937	189864
23937	270429
23929	211869
23925	38569
23921	174677
23910	195033
23905	76154
23905	156088
23898	193288
23898	250418
23899	9772
23899	85820
23894	187726
23897	104778
23897	182711
23893	35914
23880	83292
23872	209689
23872	265380
23872	276270
23876	27359
23861	22091
23861	43552
23861	215427
23867	212130
23868	141586
23860	249834
23835	221316
23835	277425
23836	13380
23836	13751
23838	26381
23834	25551
23834	83701
23834	262553
23828	255408
23829	100152
23822	15384
23819	155666
23814	141497
23814	172199
23811	104856
23748	205846
23755	60985
23746	126961
23724	111831
23724	150917
23710	88488
23710	118140
23712	37842
23707	195949
23708	86127
23708	190717
23708	213281
23709	45905
23709	46098
23709	107135
23703	129864
23704	92493
23704	104141
23695	20262
23695	28217
23695	265188
23696	105614
23696	224173
23702	93303
23702	258871
23691	269411
23694	144058
23694	151523
23688	148982
23688	149654
23677	222841
23668	76087
23668	162608
23656	129038
23640	109085
23640	135985
23642	48376
23642	126888
23635	119126
23636	141578
23639	14577
23626	82696
23626	94150
23565	136017
23557	82237
23558	5022
23543	196531
23545	83661
23546	165553
23539	281383
23536	121025
23538	77748
23538	254681
23526	71575
23526	94947
23519	74910
23519	103783
23515	81721
23513	11644
23513	49344
23506	91296
23508	90637
23508	131748
23502	22876
23503	65542
23498	146559
23500	58053
23496	2977
23496	118983
23497	102457
23479	35191
23479	58670
23471	149132
23470	27210
23462	55175
23456	29569
23456	153546
23457	3357
23457	147906
23447	55753
23445	122062
23441	102193
23439	56493
23358	52186
23350	54366
23351	71185
23349	53216
23342	111848
23346	72175
23346	81232
23308	14246
23300	91977
23285	79679
23284	94428
23281	61863
23253	102775
23251	140537
24836	60229
24838	262374
24839	264574
24841	145089
24841	363545
24842	141453
24844	380839
24851	197519
24867	119257
24872	211192
24872	258924
24888	34441
24888	36858
24889	217365
24890	29456
24893	75523
24893	231685
24895	261337
24900	191790
24900	219198
24901	79492
24901	119900
24903	151654
24904	28094
24904	126633
24906	331524
24906	345061
24909	3933
24913	287915
24915	76019
24915	218313
24915	294755
24915	398797
25037	268425
25037	366461
25038	143598
25041	15545
25041	183464
25042	14330
25052	53870
25054	139730
25054	304168
25056	150289
25056	285377
25059	97726
25060	100455
25064	62108
25064	404482
25074	272507
25076	47963
25076	293274
25078	411985
25089	148129
25089	322940
25089	329178
25103	49866
25103	131129
25105	282301
25105	366898
25110	25493
25114	39572
25114	40230
25114	66778
25116	3435
25116	329197
25126	158154
25126	389443
25126	426337
25127	253829
25127	351679
25128	391041
25130	295054
25133	321494
25133	407829
25133	469453
25140	124752
25141	49737
25141	241960
25142	70065
25142	415150
25145	400580
25145	408089
25146	77652
25147	176225
25147	329691
25147	493262
25155	74055
25155	263789
25156	268188
25159	52202
25159	278523
25160	44229
25176	226472
25177	36409
25177	222120
25179	24340
25179	395845
25180	57479
25182	434891
25184	22337
25184	144070
25200	311807
25208	11789
25209	5676
25210	314166
25211	341646
25214	62342
25216	34138
25216	211519
25219	181402
25219	325455
25219	381775
25220	52329
25221	117574
25222	249485
25223	99796
25223	106758
25225	269764
25227	9531
25227	294644
25228	363388
25230	242609
25241	433894
25328	193496
25328	288651
25331	107630
25341	171834
25357	169280
25358	27601
25358	242403
25359	58997
25371	110760
25373	229583
25374	52620
25374	223616
25375	336054
25376	221311
25377	49619
25377	308913
25379	41806
25380	104295
25381	55057
25382	57453
25389	106130
25389	267531
25403	165678
25404	120471
25404	318024
25404	434964
25405	108847
25405	313639
25408	235083
25409	493351
25411	274662
25413	356292
25413	380339
25415	302582
25416	54156
25416	382970
25421	205643
25423	245189
25423	266929
25425	99756
25432	126443
25432	182594
25432	184210
25432	222897
25433	80268
25433	423163
25435	199508
25444	296285
25445	160993
25446	307204
25446	384513
25514	89010
25514	147141
25518	155891
25518	230299
25518	375749
25519	125100
25519	172937
25519	195358
25520	190937
25523	191084
25523	228150
25523	304889
25553	22170
25556	64444
25556	81102
25556	102492
25562	104297
25562	160040
25562	391250
25563	127314
25563	200947
25563	302056
25563	370134
25563	414735
25565	262698
25567	222169
25568	422243
25569	210878
25569	334271
25569	386142
25570	73031
25570	378422
25571	189071
25574	102001
25593	53663
25593	326406
25594	319918
25594	320733
25594	415382
25596	209649
25596	267582
25596	390520
25596	391986
25596	434239
25605	431205
25606	125421
25607	106297
25607	134539
25614	24058
25616	295348
25617	148959
25620	48493
25620	343702
25622	77866
25622	419683
25622	432182
25623	147002
25623	254577
25627	79111
25627	214699
25628	141148
25628	349119
25631	192876
25631	374488
25632	295944
25633	85998
25634	141591
25634	415719
25636	223984
25636	316500
25636	430579
25638	12646
25638	163656
25638	364039
25639	289780
25639	408264
25648	91489
25649	242793
25650	42
25650	22474
25650	92350
25650	93791
25651	65016
25651	267622
25653	33953
25659	81
25660	118409
25660	343459
25661	93023
25661	384078
25669	331962
25673	139437
25674	218769
25683	248483
25685	57788
25685	149619
25686	60668
25686	119083
26095	415014
26095	442529
26098	351340
26100	345866
26101	222363
26101	361060
26126	142431
26126	381724
26131	213850
26131	373790
26148	7267
26231	207220
26244	287574
