1	3734.2		0.169
2	3736.8		0.218
3	3744.7		0.765
4	3748.3		0.838
5	3750.1		0.968
6	3751.7		1.237
7	3753.4		1.377
8	3755.6		1.566
9	3756.2		1.629
10	3759.2		1.948
11	3762.4		2.385
12	3765.0		2.715
13	3767.6		3.102
14	3771.3		3.406
15	3774.2		3.714
16	3777.5		3.692
17	3780.2		3.444
18	3782.9		2.791
19	3786.9		1.995
20	3789.1		1.361
21	3792.6		0.920
22	3797.0		0.562
23	3800.3		0.424
24	3802.4		0.325
25	3807.0		0.352
26	3809.3		0.233
27	3813.5		0.060
28	3815.3		0.056
29	3822.9		0.140
30	3832.0		0.069
31	3839.0		0.237
32	3849.4		0.186
33	3855.5		0.337
34	3863.2		0.340

