*                                                                           KC-
*type   name       id     mass/GeV      width     max_Dm 3*ch 2*sp c*t/mm   LUND
Spe  CMshower          94 0               0       0        0   0       0      94
Spe  SPHEaxis          95 0               0       0        0   0       0      95
Spe  THRUaxis          96 0               0       0        0   0       0      96
Spe  CLUSjet           97 0               0       0        0   0       0      97
Spe  CELLjet           98 0               0       0        0   0       0      98
Spe  table             99 0               0       0        0   0       0      99
Spe  pi_diff+         210 0               0       0        3   0       0     281
Spe  pi_diff-        -210 0               0       0       -3   0       0       0
Spe  rho_diff0        110 0               0       0        0   2       0     284
Spe  omega_diff       220 0               0       0        0   2       0     285
Spe  phi_diff         330 0               0       0        0   2       0     286
*
*light I=1 mesons
*
Mes  rho(770)0        113 0.7685          0.151   0.4      0   2       0     131
Mes  rho(770)+        213 0.7685          0.151   0.4      3   2       0     121
Mes  rho(770)-       -213 0.7685          0.151   0.4     -3   2       0       0
Mes  a_0(980)0    9000111 0.9835          0.057   0.050    0   0       0     171
Mes  a_0(980)+    9000211 0.9835          0.057   0.050    3   0       0     161
Mes  a_0(980)-   -9000211 0.9835          0.057   0.050   -3   0       0       0
Mes  b_1(1235)0     10113 1.231           0.142   0.25     0   2       0     151
Mes  b_1(1235)+     10213 1.231           0.142   0.25     3   2       0     141
Mes  b_1(1235)-    -10213 1.231           0.142   0.25    -3   2       0       0
Mes  a_1(1260)0     20113 1.23            0.4     0.3      0   2       0     191
Mes  a_1(1260)+     20213 1.23            0.4     0.3      3   2       0     181
Mes  a_1(1260)-    -20213 1.23            0.4     0.3     -3   2       0       0
Mes  pi(1300)0      20111 1.30            0.40    0.5      0   2       0       0
Mes  pi(1300)+      20211 1.30            0.40    0.5      0   2       0       0
Mes  pi(1300)-     -20211 1.30            0.40    0.5      0   2       0       0
Mes  a_2(1320)0       115 1.318           0.107   0.3      0   4       0     211
Mes  a_2(1320)+       215 1.318           0.107   0.3      3   4       0     201
Mes  a_2(1320)-      -215 1.318           0.107   0.3     -3   4       0       0
Mes  rho(1450)0    100113 1.46            0.31    0.5      0   2       0       0
Mes  rho(1450)+    100213 1.46            0.31    0.5      3   2       0       0
Mes  rho(1450)-   -100213 1.46            0.31    0.5     -3   2       0       0
Mes  rho(1700)0     30113 1.70            0.235   0.5      0   2       0       0
Mes  rho(1700)+     30213 1.70            0.235   0.5      3   2       0       0
Mes  rho(1700)-    -30213 1.70            0.235   0.5     -3   2       0       0
*
*light I=0 mesons
*
Mes  omega(782)       223 0.78194         0.00843 0.08     0   2       0     132
Mes  eta'(958)        331 0.95777         0.0002  0.002    0   09.77E-10     113
Mes  f_0(0.4-1.2) 9000221 1.000           0.05    0.005    0   0       0     172
Mes  f_0(980)     9010221 1.000           0.05    0.005    0   0       0     172
Mes  phi              333 1.01941         0.00443 0.015    0   2       0     133
Mes  h_1(1170)      10223 1.17            0.36    0.2      0   2       0     152
