*                                                                           KC-
*type   name       id     mass/GeV      width     max_Dm 3*ch 2*sp c*t/mm   LUND
DiQ  bd_0            5101 0               0       0       -2   0       0       0
DiQ  anti-bd_0      -5101 0               0       0        2   0       0       0
DiQ  bu_0            5201 0               0       0        1   0       0       0
DiQ  anti-bu_0      -5201 0               0       0       -1   0       0       0
DiQ  bs_0            5301 0               0       0       -2   0       0       0
DiQ  anti-bs_0      -5301 0               0       0        2   0       0       0
DiQ  bc_0            5401 0               0       0        1   0       0       0
DiQ  anti-bc_0      -5401 0               0       0       -1   0       0       0
DiQ  bb_0            5501 0               0       0       -2   0       0       0
DiQ  anti-bb_0      -5501 0               0       0        2   0       0       0
DiQ  dd_1            1103 0               0       0       -2   2       0       0
DiQ  anti-dd_1      -1103 0               0       0        2   2       0       0
DiQ  ud_1            2103 0               0       0        1   2       0       0
DiQ  anti-ud_1      -2103 0               0       0       -1   2       0       0
DiQ  uu_1            2203 0               0       0        4   2       0       0
DiQ  anti-uu_1      -2203 0               0       0       -4   2       0       0
DiQ  sd_1            3103 0               0       0       -2   2       0       0
DiQ  anti-sd_1      -3103 0               0       0        2   2       0       0
DiQ  su_1            3203 0               0       0        1   2       0       0
DiQ  anti-su_1      -3203 0               0       0       -1   2       0       0
DiQ  ss_1            3303 0               0       0       -2   2       0       0
DiQ  anti-ss_1      -3303 0               0       0        2   2       0       0
DiQ  cd_1            4103 0               0       0        1   2       0       0
DiQ  anti-cd_1      -4103 0               0       0       -1   2       0       0
DiQ  cu_1            4203 0               0       0        4   2       0       0
DiQ  anti-cu_1      -4203 0               0       0       -4   2       0       0
DiQ  cs_1            4303 0               0       0        1   2       0       0
DiQ  anti-cs_1      -4303 0               0       0       -1   2       0       0
DiQ  cc_1            4403 0               0       0        4   2       0       0
DiQ  anti-cc_1      -4403 0               0       0       -4   2       0       0
DiQ  bd_1            5103 0               0       0       -2   2       0       0
DiQ  anti-bd_1      -5103 0               0       0        2   2       0       0
DiQ  bu_1            5203 0               0       0        1   2       0       0
DiQ  anti-bu_1      -5203 0               0       0       -1   2       0       0
DiQ  bs_1            5303 0               0       0       -2   2       0       0
DiQ  anti-bs_1      -5303 0               0       0        2   2       0       0
DiQ  bc_1            5403 0               0       0        1   2       0       0
DiQ  anti-bc_1      -5403 0               0       0       -1   2       0       0
DiQ  bb_1            5503 0               0       0       -2   2       0       0
DiQ  anti-bb_1      -5503 0               0       0        2   2       0       0
*
*
*
Nuc  anti-deuter    -1011 1.8756134       0       0       -3   0       0       0
Nuc  anti-trit      -1021 2.80925         0       0       -3   1       0       0
Nuc  anti-He3       -1012 2.80923         0       0       -6   1       0       0
Nuc  anti-alpha     -1022 3.727417        0       0       -6   0       0       0
end
*     |              |    |               |       |        |   |       |       |
*     |              |    |               |       |        |   |       | KC=Lund
*     |              |    |               |       |        |   |       |
*     |              |    |               |       |        |   |       +T=c*t mm
*     |              |    |               |       |        |   + S=2*spin
*     |              |    |               |       |        + Q=3*charge
*     |              |    |               |       + WM=max deviation from mass
*     |              |    |               + W=width in GeV
*     |              |    + M=mass in GeV
*     |              + ID=STDHEP-ID
*     + NAME=name to be used in printout or as char string to identify particle
* TYPE
