-100 1864.000000 19986.033843 22096.441718 12773.992922
-99 1864.010000 19985.978694 22096.267580 12773.862003
-98 1864.020000 19985.923981 22096.094639 12773.731870
-97 1864.030000 19985.869705 22095.922899 12773.602525
-96 1864.040000 19985.815865 22095.752361 12773.473973
-95 1864.050000 19985.762460 22095.583031 12773.346232
-94 1864.060000 19985.709492 22095.414910 12773.219298
-93 1864.070000 19985.656959 22095.247997 12773.093163
-92 1864.080000 19985.604864 22095.082296 12772.967831
-91 1864.090000 19985.553206 22094.917808 12772.843307
-90 1864.100000 19985.501984 22094.754538 12772.719602
-89 1864.110000 19985.451199 22094.592486 12772.596716
-88 1864.120000 19985.400849 22094.431655 12772.474657
-87 1864.130000 19985.350934 22094.272046 12772.353427
-86 1864.140000 19985.301455 22094.113662 12772.233039
-85 1864.150000 19985.252411 22093.956508 12772.113503
-84 1864.160000 19985.203804 22093.800587 12771.994830
-83 1864.170000 19985.155633 22093.645939 12771.877063
-82 1864.180000 19985.107899 22093.492633 12771.760272
-81 1864.190000 19985.060601 22093.340671 12771.644460
-80 1864.200000 19985.013738 22093.190053 12771.529618
-79 1864.210000 19984.967311 22093.040776 12771.415732
-78 1864.220000 19984.921319 22092.892862 12771.302816
-77 1864.230000 19984.875762 22092.746414 12771.190967
-76 1864.240000 19984.830641 22092.601448 12771.080202
-75 1864.250000 19984.785954 22092.457973 12770.970528
-74 1864.260000 19984.741701 22092.316075 12770.862033
-73 1864.270000 19984.697883 22092.175774 12770.754726
-72 1864.280000 19984.654498 22092.037071 12770.648613
-71 1864.290000 19984.611548 22091.899969 12770.543701
-70 1864.300000 19984.569031 22091.764467 12770.439994
-69 1864.310000 19984.526947 22091.630566 12770.337492
-68 1864.320000 19984.485295 22091.498307 12770.236236
-67 1864.330000 19984.444076 22091.367749 12770.136280
-66 1864.340000 19984.403289 22091.238891 12770.037612
-65 1864.350000 19984.362933 22091.111730 12769.940210
-64 1864.360000 19984.323009 22090.986263 12769.844069
-63 1864.370000 19984.283515 22090.862493 12769.749191
-62 1864.380000 19984.244452 22090.740418 12769.655576
-61 1864.390000 19984.205820 22090.620040 12769.563226
-60 1864.400000 19984.167618 22090.501360 12769.472155
-59 1864.410000 19984.129845 22090.384379 12769.382368
-58 1864.420000 19984.092503 22090.269101 12769.293876
-57 1864.430000 19984.055589 22090.155541 12769.206690
-56 1864.440000 19984.019105 22090.043700 12769.120797
-55 1864.450000 19983.983049 22089.933576 12769.036189
-54 1864.460000 19983.947422 22089.825167 12768.952853
-53 1864.470000 19983.912224 22089.718470 12768.870776
-52 1864.480000 19983.877453 22089.613483 12768.789949
-51 1864.490000 19983.843112 22089.510207 12768.710375
-50 1864.500000 19983.809200 22089.408643 12768.632058
-49 1864.510000 19983.775717 22089.308792 12768.555003
-48 1864.520000 19983.742663 22089.210654 12768.479218
-47 1864.530000 19983.710037 22089.114229 12768.404700
-46 1864.540000 19983.677839 22089.019515 12768.331444
-45 1864.550000 19983.646070 22088.926509 12768.259443
-44 1864.560000 19983.614727 22088.835212 12768.188698
-43 1864.570000 19983.583812 22088.745620 12768.119198
-42 1864.580000 19983.553324 22088.657732 12768.050937
-41 1864.590000 19983.523263 22088.571544 12767.983909
-40 1864.600000 19983.493628 22088.487057 12767.918110
-39 1864.610000 19983.464419 22088.404295 12767.853547
-38 1864.620000 19983.435635 22088.323374 12767.790325
-37 1864.630000 19983.407277 22088.244303 12767.728440
-36 1864.640000 19983.379344 22088.167077 12767.667875
-35 1864.650000 19983.351836 22088.091696 12767.608632
-34 1864.660000 19983.324764 22088.018170 12767.550708
-33 1864.670000 19983.298133 22087.946502 12767.494106
-32 1864.680000 19983.271942 22087.876691 12767.438823
-31 1864.690000 19983.246191 22087.808738 12767.384870
-30 1864.700000 19983.220879 22087.742641 12767.332240
-29 1864.710000 19983.196007 22087.678411 12767.280936
-28 1864.720000 19983.171574 22087.616059 12767.230964
-27 1864.730000 19983.147579 22087.555585 12767.182330
-26 1864.740000 19983.124023 22087.496989 12767.135037
-25 1864.750000 19983.100905 22087.440269 12767.089087
-24 1864.760000 19983.078225 22087.385423 12767.044479
-23 1864.770000 19983.055983 22087.332452 12767.001213
-22 1864.780000 19983.034179 22087.281353 12766.959290
-21 1864.790000 19983.012812 22087.232124 12766.918708
-20 1864.800000 19982.991888 22087.184770 12766.879476
-19 1864.810000 19982.971404 22087.139289 12766.841593
-18 1864.820000 19982.951361 22087.095679 12766.805064
-17 1864.830000 19982.931759 22087.053940 12766.769891
-16 1864.840000 19982.912597 22087.014070 12766.736075
-15 1864.850000 19982.893876 22086.976066 12766.703610
-14 1864.860000 19982.875594 22086.939925 12766.672491
-13 1864.870000 19982.857752 22086.905644 12766.642715
-12 1864.880000 19982.840348 22086.873221 12766.614283
-11 1864.890000 19982.823383 22086.842652 12766.587185
-10 1864.900000 19982.806857 22086.813932 12766.561406
-9 1864.910000 19982.790769 22086.787055 12766.536929
-8 1864.920000 19982.775118 22086.762015 12766.513732
-7 1864.930000 19982.759904 22086.738808 12766.491809
-6 1864.940000 19982.745126 22086.717431 12766.471161
-5 1864.950000 19982.730786 22086.697884 12766.451790
-4 1864.960000 19982.716888 22086.680170 12766.433699
-3 1864.970000 19982.703431 22086.664285 12766.416885
-2 1864.980000 19982.690416 22086.650226 12766.401339
-1 1864.990000 19982.677842 22086.637987 12766.387053
0 1865.000000 19982.665708 22086.627566 12766.374023
1 1865.010000 19982.654015 22086.618959 12766.362246
2 1865.020000 19982.642761 22086.612163 12766.351717
